File name,a,b,c,d,e,f
Mts000M000008.txt,74:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000018.txt,79:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000019.txt,52:SampleProd,80:LinearComp,81:LinearComp,,,
Mts000M000023.txt,24:ClosePairs,80:LinearComp,81:LinearComp,,,
Mts000M000029.txt,11:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000038.txt,80:LinearComp,81:LinearComp,91:HammingWeight2,,,
Mts000M000039.txt,28:SimpPoker,80:LinearComp,81:LinearComp,,,
Mts000M000041.txt,2:SerialOver,80:LinearComp,81:LinearComp,,,
Mts000M000044.txt,11:CollisionOver,26:SimpPoker,80:LinearComp,81:LinearComp,,
Mts000M000048.txt,10:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000049.txt,68:MatrixRank,80:LinearComp,81:LinearComp,,,
Mts000M000052.txt,80:LinearComp,81:LinearComp,82:LempelZiv,,,
Mts000M000054.txt,80:LinearComp,81:LinearComp,92:HammingCorr,,,
Mts000M000058.txt,74:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000060.txt,30:CouponCollector,78:RandomWalk1,80:LinearComp,81:LinearComp,,
Mts000M000071.txt,26:SimpPoker,80:LinearComp,81:LinearComp,,,
Mts000M000078.txt,40:Permutation,80:LinearComp,81:LinearComp,,,
Mts000M000080.txt,10:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000083.txt,79:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000086.txt,80:LinearComp,81:LinearComp,99:HammingIndep,,,
Mts000M000089.txt,80:LinearComp,81:LinearComp,95:HammingIndep,,,
Mts000M000090.txt,78:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000094.txt,76:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000097.txt,12:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000098.txt,8:CollisionOver,47:MaxOft,80:LinearComp,81:LinearComp,,
Mts000M000106.txt,39:Run,80:LinearComp,81:LinearComp,,,
Mts000M000111.txt,55:SampleCorr,80:LinearComp,81:LinearComp,,,
Mts000M000115.txt,11:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000117.txt,22:ClosePairs,80:LinearComp,81:LinearComp,,,
Mts000M000118.txt,12:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000119.txt,13:BirthdaySpacings,22:ClosePairs,80:LinearComp,81:LinearComp,,
Mts000M000120.txt,80:LinearComp,81:LinearComp,98:HammingIndep,,,
Mts000M000129.txt,24:ClosePairs,80:LinearComp,81:LinearComp,,,
Mts000M000131.txt,39:Run,80:LinearComp,81:LinearComp,,,
Mts000M000133.txt,80:LinearComp,81:LinearComp,95:HammingIndep,,,
Mts000M000140.txt,77:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000141.txt,48:MaxOft,80:LinearComp,81:LinearComp,,,
Mts000M000143.txt,12:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000151.txt,74:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000157.txt,32:CouponCollector,80:LinearComp,81:LinearComp,,,
Mts000M000158.txt,77:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000159.txt,80:LinearComp,81:LinearComp,89:PeriodsInStrings,,,
Mts000M000160.txt,23:ClosePairs,80:LinearComp,81:LinearComp,,,
Mts000M000163.txt,80:LinearComp,81:LinearComp,103:AutoCor,,,
Mts000M000167.txt,34:Gap,75:RandomWalk1,80:LinearComp,81:LinearComp,,
Mts000M000173.txt,24:ClosePairs,46:MaxOft,80:LinearComp,81:LinearComp,,
Mts000M000176.txt,80:LinearComp,81:LinearComp,99:HammingIndep,,,
Mts000M000180.txt,76:RandomWalk1,78:RandomWalk1,80:LinearComp,81:LinearComp,,
Mts000M000182.txt,80:LinearComp,81:LinearComp,94:HammingCorr,,,
Mts000M000183.txt,23:ClosePairs,80:LinearComp,81:LinearComp,,,
Mts000M000188.txt,12:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000190.txt,80:LinearComp,81:LinearComp,99:HammingIndep,,,
Mts000M000192.txt,38:Run,80:LinearComp,81:LinearComp,,,
Mts000M000201.txt,76:RandomWalk1,80:LinearComp,81:LinearComp,99:HammingIndep,,
Mts000M000205.txt,79:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000209.txt,74:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000211.txt,69:MatrixRank,80:LinearComp,81:LinearComp,,,
Mts000M000212.txt,61:WeightDistrib,80:LinearComp,81:LinearComp,,,
Mts000M000218.txt,24:ClosePairs,80:LinearComp,81:LinearComp,86:LongestHeadRun,,
Mts000M000220.txt,63:WeightDistrib,80:LinearComp,81:LinearComp,,,
Mts000M000223.txt,49:MaxOft,80:LinearComp,81:LinearComp,,,
Mts000M000224.txt,26:SimpPoker,80:LinearComp,81:LinearComp,,,
Mts000M000229.txt,21:BirthdaySpacings,80:LinearComp,81:LinearComp,,,
Mts000M000239.txt,24:ClosePairs,61:WeightDistrib,80:LinearComp,81:LinearComp,,
Mts000M000241.txt,80:LinearComp,81:LinearComp,104:AutoCor,,,
Mts000M000244.txt,76:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000247.txt,76:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000254.txt,4:CollisionOver,23:ClosePairs,80:LinearComp,81:LinearComp,,
Mts000M000262.txt,9:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000271.txt,79:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000272.txt,80:LinearComp,81:LinearComp,100:HammingIndep,,,
Mts000M000273.txt,75:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000275.txt,24:ClosePairs,80:LinearComp,81:LinearComp,,,
Mts000M000284.txt,48:MaxOft,80:LinearComp,81:LinearComp,,,
Mts000M000292.txt,80:LinearComp,81:LinearComp,106:AutoCor,,,
Mts000M000295.txt,10:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000297.txt,25:ClosePairs,80:LinearComp,81:LinearComp,,,
Mts000M000298.txt,77:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000306.txt,11:CollisionOver,47:MaxOft,80:LinearComp,81:LinearComp,,
Mts000M000313.txt,76:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000318.txt,34:Gap,80:LinearComp,81:LinearComp,,,
Mts000M000322.txt,75:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000323.txt,47:MaxOft,51:SampleProd,80:LinearComp,81:LinearComp,,
Mts000M000326.txt,34:Gap,80:LinearComp,81:LinearComp,,,
Mts000M000327.txt,38:Run,80:LinearComp,81:LinearComp,,,
Mts000M000331.txt,26:SimpPoker,80:LinearComp,81:LinearComp,,,
Mts000M000332.txt,77:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000352.txt,75:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000359.txt,75:RandomWalk1,80:LinearComp,81:LinearComp,89:PeriodsInStrings,,
Mts000M000364.txt,80:LinearComp,81:LinearComp,93:HammingCorr,,,
Mts000M000366.txt,23:ClosePairs,80:LinearComp,81:LinearComp,,,
Mts000M000380.txt,25:ClosePairs,80:LinearComp,81:LinearComp,,,
Mts000M000388.txt,38:Run,80:LinearComp,81:LinearComp,,,
Mts000M000390.txt,11:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000391.txt,11:CollisionOver,80:LinearComp,81:LinearComp,,,
Mts000M000392.txt,2:SerialOver,80:LinearComp,81:LinearComp,,,
Mts000M000394.txt,80:LinearComp,81:LinearComp,95:HammingIndep,,,
Mts000M000400.txt,66:MatrixRank,80:LinearComp,81:LinearComp,,,
Mts000M000403.txt,78:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000411.txt,24:ClosePairs,80:LinearComp,81:LinearComp,96:HammingIndep,,
Mts000M000413.txt,25:ClosePairs,80:LinearComp,81:LinearComp,,,
Mts000M000420.txt,76:RandomWalk1,80:LinearComp,81:LinearComp,,,
Mts000M000421.txt,80:LinearComp,81:LinearComp,95:HammingIndep,,,
Mts000M000426.txt,80:LinearComp,81:LinearComp,88:PeriodsInStrings,,,
Mts000M000429.txt,28:SimpPoker,80:LinearComp,81:LinearComp,,,
Mts000M000430.txt,11:CollisionOver,80:LinearComp,81:LinearComp,,,
