,testName,count
0,"100:HammingIndep,",9
1,101:Run,7
2,102:Run,9
3,"103:AutoCor,",5
4,"104:AutoCor,",5
5,"105:AutoCor,",15
6,"106:AutoCor,",6
7,"10:CollisionOver,",28
8,"11:CollisionOver,",58
9,"12:CollisionOver,",69
10,"13:BirthdaySpacings,",12
11,"14:BirthdaySpacings,",5
12,"15:BirthdaySpacings,",5
13,"16:BirthdaySpacings,",8
14,"17:BirthdaySpacings,",7
15,"18:BirthdaySpacings,",8
16,"19:BirthdaySpacings,",7
17,"1:SerialOver,",10
18,"20:BirthdaySpacings,",9
19,"21:BirthdaySpacings,",8
20,22:ClosePairs,45
21,23:ClosePairs,50
22,24:ClosePairs,37
23,25:ClosePairs,47
24,"26:SimpPoker,",7
25,"27:SimpPoker,",6
26,"28:SimpPoker,",12
27,"29:SimpPoker,",9
28,"2:SerialOver,",9
29,"30:CouponCollector,",5
30,"31:CouponCollector,",7
31,"32:CouponCollector,",7
32,"33:CouponCollector,",10
33,"34:Gap,",15
34,"35:Gap,",4
35,"36:Gap,",9
36,"37:Gap,",9
37,"38:Run,",11
38,"39:Run,",16
39,"3:CollisionOver,",9
40,"40:Permutation,",8
41,"41:Permutation,",11
42,"42:Permutation,",5
43,"43:Permutation,",14
44,"44:CollisionPermut,",5
45,"45:CollisionPermut,",4
46,46:MaxOft,14
47,"46:MaxOft,",10
48,47:MaxOft,8
49,"47:MaxOft,",6
50,48:MaxOft,8
51,"48:MaxOft,",8
52,49:MaxOft,6
53,"49:MaxOft,",4
54,"4:CollisionOver,",12
55,"50:SampleProd,",9
56,"51:SampleProd,",7
57,"52:SampleProd,",9
58,"53:SampleMean,",8
59,"54:SampleMean,",5
60,"55:SampleCorr,",12
61,"56:SampleCorr,",12
62,"57:AppearanceSpacings,",9
63,"58:AppearanceSpacings,",10
64,"59:WeightDistrib,",12
65,"5:CollisionOver,",5
66,"60:WeightDistrib,",14
67,"61:WeightDistrib,",7
68,"62:WeightDistrib,",5
69,"63:WeightDistrib,",4
70,"64:WeightDistrib,",9
71,65:SumCollector,9
72,"66:MatrixRank,",4
73,"67:MatrixRank,",8
74,"68:MatrixRank,",7
75,"69:MatrixRank,",10
76,"6:CollisionOver,",6
77,"70:MatrixRank,",4
78,"71:MatrixRank,",7
79,72:Savir2,7
80,73:GCD,9
81,74:RandomWalk1,41
82,75:RandomWalk1,43
83,76:RandomWalk1,46
84,77:RandomWalk1,44
85,78:RandomWalk1,46
86,79:RandomWalk1,35
87,"7:CollisionOver,",12
88,"80:LinearComp,",1212
89,"81:LinearComp,",1218
90,"82:LempelZiv,",15
91,"83:LempelZiv,",9
92,"84:Fourier3,",2
93,"85:Fourier3,",6
94,"86:LongestHeadRun,",15
95,"87:LongestHeadRun,",9
96,"88:PeriodsInStrings,",7
97,"89:PeriodsInStrings,",3
98,"8:CollisionOver,",12
99,"90:HammingWeight2,",7
100,"91:HammingWeight2,",8
101,"92:HammingCorr,",12
102,"93:HammingCorr,",5
103,"94:HammingCorr,",13
104,"95:HammingIndep,",9
105,"96:HammingIndep,",11
106,"97:HammingIndep,",11
107,"98:HammingIndep,",9
108,"99:HammingIndep,",12
109,"9:CollisionOver,",26
