,testName,count
89,"81:LinearComp,",1218
88,"80:LinearComp,",1212
9,"12:CollisionOver,",69
8,"11:CollisionOver,",58
21,23:ClosePairs,50
23,25:ClosePairs,47
85,78:RandomWalk1,46
83,76:RandomWalk1,46
20,22:ClosePairs,45
84,77:RandomWalk1,44
82,75:RandomWalk1,43
81,74:RandomWalk1,41
22,24:ClosePairs,37
86,79:RandomWalk1,35
7,"10:CollisionOver,",28
109,"9:CollisionOver,",26
38,"39:Run,",16
94,"86:LongestHeadRun,",15
33,"34:Gap,",15
90,"82:LempelZiv,",15
5,"105:AutoCor,",15
43,"43:Permutation,",14
66,"60:WeightDistrib,",14
46,46:MaxOft,14
103,"94:HammingCorr,",13
64,"59:WeightDistrib,",12
61,"56:SampleCorr,",12
60,"55:SampleCorr,",12
26,"28:SimpPoker,",12
87,"7:CollisionOver,",12
101,"92:HammingCorr,",12
108,"99:HammingIndep,",12
10,"13:BirthdaySpacings,",12
98,"8:CollisionOver,",12
54,"4:CollisionOver,",12
106,"97:HammingIndep,",11
105,"96:HammingIndep,",11
41,"41:Permutation,",11
37,"38:Run,",11
75,"69:MatrixRank,",10
17,"1:SerialOver,",10
32,"33:CouponCollector,",10
47,"46:MaxOft,",10
63,"58:AppearanceSpacings,",10
71,65:SumCollector,9
80,73:GCD,9
70,"64:WeightDistrib,",9
104,"95:HammingIndep,",9
95,"87:LongestHeadRun,",9
62,"57:AppearanceSpacings,",9
107,"98:HammingIndep,",9
91,"83:LempelZiv,",9
57,"52:SampleProd,",9
0,"100:HammingIndep,",9
55,"50:SampleProd,",9
18,"20:BirthdaySpacings,",9
27,"29:SimpPoker,",9
28,"2:SerialOver,",9
35,"36:Gap,",9
36,"37:Gap,",9
2,102:Run,9
39,"3:CollisionOver,",9
40,"40:Permutation,",8
100,"91:HammingWeight2,",8
15,"18:BirthdaySpacings,",8
19,"21:BirthdaySpacings,",8
73,"67:MatrixRank,",8
13,"16:BirthdaySpacings,",8
48,47:MaxOft,8
50,48:MaxOft,8
51,"48:MaxOft,",8
58,"53:SampleMean,",8
99,"90:HammingWeight2,",7
14,"17:BirthdaySpacings,",7
16,"19:BirthdaySpacings,",7
24,"26:SimpPoker,",7
56,"51:SampleProd,",7
67,"61:WeightDistrib,",7
30,"31:CouponCollector,",7
31,"32:CouponCollector,",7
1,101:Run,7
79,72:Savir2,7
96,"88:PeriodsInStrings,",7
74,"68:MatrixRank,",7
78,"71:MatrixRank,",7
49,"47:MaxOft,",6
93,"85:Fourier3,",6
52,49:MaxOft,6
6,"106:AutoCor,",6
76,"6:CollisionOver,",6
25,"27:SimpPoker,",6
12,"15:BirthdaySpacings,",5
68,"62:WeightDistrib,",5
11,"14:BirthdaySpacings,",5
59,"54:SampleMean,",5
3,"103:AutoCor,",5
102,"93:HammingCorr,",5
65,"5:CollisionOver,",5
44,"44:CollisionPermut,",5
4,"104:AutoCor,",5
42,"42:Permutation,",5
29,"30:CouponCollector,",5
53,"49:MaxOft,",4
77,"70:MatrixRank,",4
72,"66:MatrixRank,",4
69,"63:WeightDistrib,",4
45,"45:CollisionPermut,",4
34,"35:Gap,",4
97,"89:PeriodsInStrings,",3
92,"84:Fourier3,",2
