,testName,count
0,100:HammingIndep,9
1,101:Run,14
2,102:Run,10
3,103:AutoCor,7
4,104:AutoCor,8
5,105:AutoCor,8
6,106:AutoCor,5
7,10:CollisionOver,18
8,11:CollisionOver,57
9,12:CollisionOver,68
10,13:BirthdaySpacings,7
11,14:BirthdaySpacings,8
12,15:BirthdaySpacings,5
13,16:BirthdaySpacings,5
14,17:BirthdaySpacings,11
15,18:BirthdaySpacings,5
16,19:BirthdaySpacings,4
17,1:SerialOver,13
18,20:BirthdaySpacings,7
19,21:BirthdaySpacings,7
20,22:ClosePairs,50
21,23:ClosePairs,32
22,24:ClosePairs,41
23,25:ClosePairs,44
24,26:SimpPoker,7
25,27:SimpPoker,9
26,28:SimpPoker,5
27,29:SimpPoker,6
28,2:SerialOver,14
29,30:CouponCollector,7
30,31:CouponCollector,5
31,32:CouponCollector,2
32,33:CouponCollector,9
33,34:Gap,12
34,35:Gap,9
35,36:Gap,11
36,37:Gap,9
37,38:Run,4
38,39:Run,12
39,3:CollisionOver,8
40,40:Permutation,11
41,41:Permutation,8
42,42:Permutation,6
43,43:Permutation,8
44,44:CollisionPermut,6
45,45:CollisionPermut,9
46,46:MaxOft,17
47,47:MaxOft,12
48,48:MaxOft,21
49,49:MaxOft,14
50,4:CollisionOver,9
51,50:SampleProd,7
52,51:SampleProd,5
53,52:SampleProd,8
54,53:SampleMean,9
55,54:SampleMean,7
56,55:SampleCorr,13
57,56:SampleCorr,6
58,57:AppearanceSpacings,9
59,58:AppearanceSpacings,5
60,59:WeightDistrib,7
61,5:CollisionOver,11
62,60:WeightDistrib,10
63,61:WeightDistrib,10
64,62:WeightDistrib,4
65,63:WeightDistrib,13
66,64:WeightDistrib,7
67,65:SumCollector,6
68,66:MatrixRank,8
69,67:MatrixRank,8
70,68:MatrixRank,13
71,69:MatrixRank,11
72,6:CollisionOver,7
73,70:MatrixRank,4
74,71:MatrixRank,8
75,72:Savir2,13
76,73:GCD,4
77,74:RandomWalk1,37
78,75:RandomWalk1,40
79,76:RandomWalk1,46
80,77:RandomWalk1,41
81,78:RandomWalk1,47
82,79:RandomWalk1,41
83,7:CollisionOver,10
84,80:LinearComp,1156
85,81:LinearComp,1156
86,82:LempelZiv,8
87,83:LempelZiv,14
88,84:Fourier3,3
89,85:Fourier3,6
90,86:LongestHeadRun,9
91,87:LongestHeadRun,10
92,88:PeriodsInStrings,8
93,89:PeriodsInStrings,4
94,8:CollisionOver,11
95,90:HammingWeight2,7
96,91:HammingWeight2,17
97,92:HammingCorr,6
98,93:HammingCorr,13
99,94:HammingCorr,7
100,95:HammingIndep,10
101,96:HammingIndep,6
102,97:HammingIndep,8
103,98:HammingIndep,3
104,99:HammingIndep,12
105,9:CollisionOver,35
