File name,a,b,c,d,e,f
Mts000M000009.txt,"67:MatrixRank,","80:LinearComp,","81:LinearComp,",,,
Mts000M000013.txt,"56:SampleCorr,",78:RandomWalk1,"80:LinearComp,","81:LinearComp,",,
Mts000M000014.txt,22:ClosePairs,"80:LinearComp,","81:LinearComp,",,,
Mts000M000016.txt,"11:CollisionOver,","80:LinearComp,","81:LinearComp,",,,
Mts000M000017.txt,47:MaxOft,74:RandomWalk1,"80:LinearComp,","81:LinearComp,",,
Mts000M000018.txt,22:ClosePairs,22:ClosePairs,"60:WeightDistrib,","80:LinearComp,","81:LinearComp,",
Mts000M000019.txt,"80:LinearComp,","81:LinearComp,","105:AutoCor,",,,
Mts000M000024.txt,"44:CollisionPermut,","80:LinearComp,","81:LinearComp,",,,
Mts000M000029.txt,78:RandomWalk1,"80:LinearComp,","81:LinearComp,",,,
Mts000M000030.txt,"80:LinearComp,","81:LinearComp,","83:LempelZiv,",,,
Mts000M000031.txt,"6:CollisionOver,","80:LinearComp,","81:LinearComp,",,,
Mts000M000033.txt,23:ClosePairs,"80:LinearComp,","81:LinearComp,","87:LongestHeadRun,",,
Mts000M000034.txt,22:ClosePairs,"80:LinearComp,","81:LinearComp,",,,
Mts000M000039.txt,"80:LinearComp,","81:LinearComp,","96:HammingIndep,",,,
Mts000M000040.txt,"80:LinearComp,","81:LinearComp,","85:Fourier3,",,,
Mts000M000042.txt,77:RandomWalk1,"80:LinearComp,","81:LinearComp,",,,
Mts000M000043.txt,"60:WeightDistrib,","80:LinearComp,","81:LinearComp,",,,
Mts000M000045.txt,76:RandomWalk1,"80:LinearComp,","81:LinearComp,",,,
Mts000M000046.txt,78:RandomWalk1,"80:LinearComp,","81:LinearComp,",,,
Mts000M000048.txt,"80:LinearComp,","81:LinearComp,",102:Run,,,
Mts000M000051.txt,"11:CollisionOver,","80:LinearComp,","81:LinearComp,","82:LempelZiv,",,
Mts000M000058.txt,"12:CollisionOver,","80:LinearComp,","81:LinearComp,",,,
Mts000M000060.txt,22:ClosePairs,"80:LinearComp,","81:LinearComp,",,,
Mts000M000061.txt,76:RandomWalk1,"80:LinearComp,","81:LinearComp,",,,
Mts000M000064.txt,"58:AppearanceSpacings,","80:LinearComp,","81:LinearComp,",,,
Mts000M000067.txt,"55:SampleCorr,","80:LinearComp,","81:LinearComp,",,,
Mts000M000068.txt,"48:MaxOft,","80:LinearComp,","81:LinearComp,",,,
Mts000M000071.txt,"8:CollisionOver,","80:LinearComp,","81:LinearComp,",,,
Mts000M000074.txt,"14:BirthdaySpacings,","80:LinearComp,","81:LinearComp,",,,
Mts000M000077.txt,"80:LinearComp,","81:LinearComp,","95:HammingIndep,",,,
Mts000M000080.txt,"71:MatrixRank,","80:LinearComp,","81:LinearComp,",,,
Mts000M000081.txt,"41:Permutation,","80:LinearComp,","81:LinearComp,",,,
Mts000M000087.txt,25:ClosePairs,"80:LinearComp,","81:LinearComp,",,,
Mts000M000091.txt,"50:SampleProd,","80:LinearComp,","81:LinearComp,",,,
Mts000M000092.txt,"80:LinearComp,","81:LinearComp,",101:Run,,,
Mts000M000098.txt,79:RandomWalk1,"80:LinearComp,","81:LinearComp,",,,
Mts000M000099.txt,"10:CollisionOver,","80:LinearComp,","81:LinearComp,",,,
Mts000M000102.txt,"18:BirthdaySpacings,","80:LinearComp,","81:LinearComp,",,,
Mts000M000103.txt,25:ClosePairs,"80:LinearComp,","81:LinearComp,",,,
Mts000M000110.txt,"11:CollisionOver,","80:LinearComp,","81:LinearComp,",,,
