,testName,count
85,81:LinearComp,1189
84,80:LinearComp,1179
9,12:CollisionOver,68
8,11:CollisionOver,57
20,22:ClosePairs,51
81,78:RandomWalk1,48
79,76:RandomWalk1,46
23,25:ClosePairs,46
78,75:RandomWalk1,43
22,24:ClosePairs,43
80,77:RandomWalk1,40
82,79:RandomWalk1,39
77,74:RandomWalk1,35
105,9:CollisionOver,35
21,23:ClosePairs,34
48,48:MaxOft,21
7,10:CollisionOver,18
46,46:MaxOft,18
96,91:HammingWeight2,17
28,2:SerialOver,14
1,101:Run,14
49,49:MaxOft,14
17,1:SerialOver,13
56,55:SampleCorr,13
87,83:LempelZiv,13
75,72:Savir2,13
65,63:WeightDistrib,13
47,47:MaxOft,12
104,99:HammingIndep,12
38,39:Run,12
33,34:Gap,12
35,36:Gap,11
61,5:CollisionOver,11
40,40:Permutation,11
14,17:BirthdaySpacings,11
100,95:HammingIndep,11
98,93:HammingCorr,11
94,8:CollisionOver,11
70,68:MatrixRank,10
63,61:WeightDistrib,10
2,102:Run,10
62,60:WeightDistrib,10
91,87:LongestHeadRun,10
83,7:CollisionOver,10
71,69:MatrixRank,10
86,82:LempelZiv,9
58,57:AppearanceSpacings,9
50,4:CollisionOver,9
54,53:SampleMean,9
90,86:LongestHeadRun,9
0,100:HammingIndep,9
45,45:CollisionPermut,9
32,33:CouponCollector,9
36,37:Gap,9
25,27:SimpPoker,9
34,35:Gap,9
53,52:SampleProd,8
39,3:CollisionOver,8
11,14:BirthdaySpacings,8
92,88:PeriodsInStrings,8
89,85:Fourier3,8
5,105:AutoCor,8
41,41:Permutation,8
4,104:AutoCor,8
74,71:MatrixRank,8
43,43:Permutation,8
55,54:SampleMean,8
69,67:MatrixRank,8
18,20:BirthdaySpacings,7
19,21:BirthdaySpacings,7
95,90:HammingWeight2,7
10,13:BirthdaySpacings,7
97,92:HammingCorr,7
101,96:HammingIndep,7
102,97:HammingIndep,7
3,103:AutoCor,7
24,26:SimpPoker,7
51,50:SampleProd,7
29,30:CouponCollector,7
72,6:CollisionOver,7
60,59:WeightDistrib,7
66,64:WeightDistrib,7
68,66:MatrixRank,7
44,44:CollisionPermut,6
57,56:SampleCorr,6
42,42:Permutation,6
99,94:HammingCorr,6
27,29:SimpPoker,6
67,65:SumCollector,6
52,51:SampleProd,5
59,58:AppearanceSpacings,5
13,16:BirthdaySpacings,5
15,18:BirthdaySpacings,5
26,28:SimpPoker,5
30,31:CouponCollector,5
76,73:GCD,5
6,106:AutoCor,5
12,15:BirthdaySpacings,5
37,38:Run,4
73,70:MatrixRank,4
64,62:WeightDistrib,4
16,19:BirthdaySpacings,4
93,89:PeriodsInStrings,4
103,98:HammingIndep,3
88,84:Fourier3,3
31,32:CouponCollector,2
