testName,countIndex,countRandom,countSeqSplit
81:LinearComp,1139,1185,1156
80:LinearComp,1139,1185,1156
74:RandomWalk1,63,41,35
11:CollisionOver,62,58,57
12:CollisionOver,52,69,68
76:RandomWalk1,48,45,45
24:ClosePairs,48,36,41
75:RandomWalk1,42,43,43
25:ClosePairs,42,44,44
22:ClosePairs,42,43,50
79:RandomWalk1,39,35,39
78:RandomWalk1,38,46,48
23:ClosePairs,37,49,32
77:RandomWalk1,37,44,40
10:CollisionOver,24,28,18
9:CollisionOver,21,26,35
48:MaxOft,19,16,21
46:MaxOft,18,24,18
96:HammingIndep,15,11,7
56:SampleCorr,14,12,6
49:MaxOft,14,10,14
86:LongestHeadRun,14,15,9
93:HammingCorr,14,5,11
38:Run,13,11,4
95:HammingIndep,13,9,11
61:WeightDistrib,12,7,10
47:MaxOft,12,14,12
41:Permutation,12,11,8
100:HammingIndep,12,9,9
103:AutoCor,11,5,7
63:WeightDistrib,11,4,13
82:LempelZiv,11,15,9
60:WeightDistrib,11,14,10
55:SampleCorr,11,12,13
67:MatrixRank,11,8,8
59:WeightDistrib,10,12,7
72:Savir2,10,7,13
104:AutoCor,10,5,8
42:Permutation,10,5,6
53:SampleMean,10,8,9
102:Run,10,9,10
21:BirthdaySpacings,10,8,7
62:WeightDistrib,10,5,4
36:Gap,10,9,11
99:HammingIndep,10,12,12
101:Run,9,7,14
51:SampleProd,9,7,5
4:CollisionOver,9,12,9
73:GCD,9,9,5
26:SimpPoker,9,7,7
88:PeriodsInStrings,9,7,8
94:HammingCorr,9,13,6
39:Run,9,16,12
66:MatrixRank,9,4,7
68:MatrixRank,9,7,10
34:Gap,9,15,12
8:CollisionOver,9,12,11
106:AutoCor,8,6,5
14:BirthdaySpacings,8,5,8
1:SerialOver,8,10,13
17:BirthdaySpacings,8,7,11
30:CouponCollector,8,5,7
57:AppearanceSpacings,8,9,9
28:SimpPoker,8,12,5
2:SerialOver,8,9,14
35:Gap,8,4,9
98:HammingIndep,8,9,3
83:LempelZiv,7,9,13
105:AutoCor,7,15,8
92:HammingCorr,7,12,7
16:BirthdaySpacings,7,8,5
97:HammingIndep,7,11,7
87:LongestHeadRun,7,9,10
52:SampleProd,7,9,8
32:CouponCollector,7,7,2
31:CouponCollector,7,7,5
29:SimpPoker,7,9,6
70:MatrixRank,7,4,4
65:SumCollector,6,9,6
19:BirthdaySpacings,6,7,4
7:CollisionOver,6,12,10
90:HammingWeight2,6,7,7
27:SimpPoker,6,6,9
85:Fourier3,5,6,8
37:Gap,5,9,9
40:Permutation,5,8,11
43:Permutation,5,14,8
45:CollisionPermut,5,4,9
50:SampleProd,5,9,7
71:MatrixRank,5,7,8
20:BirthdaySpacings,5,9,7
13:BirthdaySpacings,5,12,7
64:WeightDistrib,5,9,7
15:BirthdaySpacings,5,5,5
18:BirthdaySpacings,5,8,5
54:SampleMean,5,5,8
58:AppearanceSpacings,4,10,5
89:PeriodsInStrings,4,3,4
91:HammingWeight2,4,8,17
69:MatrixRank,4,10,10
33:CouponCollector,4,10,9
5:CollisionOver,3,5,11
44:CollisionPermut,3,5,6
3:CollisionOver,2,9,8
6:CollisionOver,2,6,7
84:Fourier3,1,2,3
