testName,count1,count2,percentage1,percentage2
74:RandomWalk1,63,59,1.54,1.44
11:CollisionOver,62,62,1.51,1.51
12:CollisionOver,52,52,1.27,1.27
76:RandomWalk1,48,46,1.17,1.12
24:ClosePairs,48,48,1.17,1.17
75:RandomWalk1,42,38,1.03,0.93
25:ClosePairs,42,42,1.03,1.03
22:ClosePairs,42,42,1.03,1.03
79:RandomWalk1,39,41,0.95,1.0
78:RandomWalk1,38,38,0.93,0.93
23:ClosePairs,37,37,0.9,0.9
77:RandomWalk1,37,36,0.9,0.88
10:CollisionOver,24,24,0.59,0.59
9:CollisionOver,21,21,0.51,0.51
48:MaxOft,19,20,0.46,0.49
46:MaxOft,18,19,0.44,0.46
96:HammingIndep,15,15,0.37,0.37
56:SampleCorr,14,14,0.34,0.34
49:MaxOft,14,14,0.34,0.34
86:LongestHeadRun,14,14,0.34,0.34
93:HammingCorr,14,13,0.34,0.32
38:Run,13,13,0.32,0.32
95:HammingIndep,13,11,0.32,0.27
61:WeightDistrib,12,12,0.29,0.29
47:MaxOft,12,12,0.29,0.29
41:Permutation,12,12,0.29,0.29
100:HammingIndep,12,11,0.29,0.27
103:AutoCor,11,11,0.27,0.27
63:WeightDistrib,11,11,0.27,0.27
82:LempelZiv,11,12,0.27,0.29
60:WeightDistrib,11,11,0.27,0.27
55:SampleCorr,11,11,0.27,0.27
67:MatrixRank,11,10,0.27,0.24
59:WeightDistrib,10,10,0.24,0.24
72:Savir2,10,10,0.24,0.24
104:AutoCor,10,10,0.24,0.24
42:Permutation,10,10,0.24,0.24
53:SampleMean,10,10,0.24,0.24
102:Run,10,10,0.24,0.24
21:BirthdaySpacings,10,10,0.24,0.24
62:WeightDistrib,10,10,0.24,0.24
36:Gap,10,10,0.24,0.24
99:HammingIndep,10,7,0.24,0.17
101:Run,9,9,0.22,0.22
51:SampleProd,9,9,0.22,0.22
4:CollisionOver,9,9,0.22,0.22
73:GCD,9,8,0.22,0.2
26:SimpPoker,9,9,0.22,0.22
88:PeriodsInStrings,9,9,0.22,0.22
94:HammingCorr,9,9,0.22,0.22
39:Run,9,9,0.22,0.22
66:MatrixRank,9,9,0.22,0.22
68:MatrixRank,9,10,0.22,0.24
34:Gap,9,9,0.22,0.22
8:CollisionOver,9,9,0.22,0.22
106:AutoCor,8,8,0.2,0.2
14:BirthdaySpacings,8,8,0.2,0.2
1:SerialOver,8,8,0.2,0.2
17:BirthdaySpacings,8,8,0.2,0.2
30:CouponCollector,8,8,0.2,0.2
57:AppearanceSpacings,8,8,0.2,0.2
28:SimpPoker,8,8,0.2,0.2
2:SerialOver,8,8,0.2,0.2
35:Gap,8,8,0.2,0.2
98:HammingIndep,8,7,0.2,0.17
83:LempelZiv,7,6,0.17,0.15
105:AutoCor,7,7,0.17,0.17
92:HammingCorr,7,8,0.17,0.2
16:BirthdaySpacings,7,7,0.17,0.17
97:HammingIndep,7,9,0.17,0.22
87:LongestHeadRun,7,7,0.17,0.17
52:SampleProd,7,7,0.17,0.17
32:CouponCollector,7,7,0.17,0.17
31:CouponCollector,7,7,0.17,0.17
29:SimpPoker,7,7,0.17,0.17
70:MatrixRank,7,7,0.17,0.17
65:SumCollector,6,6,0.15,0.15
19:BirthdaySpacings,6,6,0.15,0.15
7:CollisionOver,6,6,0.15,0.15
90:HammingWeight2,6,6,0.15,0.15
27:SimpPoker,6,6,0.15,0.15
85:Fourier3,5,4,0.12,0.1
37:Gap,5,5,0.12,0.12
40:Permutation,5,5,0.12,0.12
43:Permutation,5,5,0.12,0.12
45:CollisionPermut,5,5,0.12,0.12
50:SampleProd,5,5,0.12,0.12
71:MatrixRank,5,5,0.12,0.12
20:BirthdaySpacings,5,5,0.12,0.12
13:BirthdaySpacings,5,5,0.12,0.12
64:WeightDistrib,5,5,0.12,0.12
15:BirthdaySpacings,5,5,0.12,0.12
18:BirthdaySpacings,5,5,0.12,0.12
54:SampleMean,5,6,0.12,0.15
58:AppearanceSpacings,4,4,0.1,0.1
89:PeriodsInStrings,4,4,0.1,0.1
91:HammingWeight2,4,5,0.1,0.12
69:MatrixRank,4,6,0.1,0.15
33:CouponCollector,4,4,0.1,0.1
5:CollisionOver,3,3,0.07,0.07
44:CollisionPermut,3,3,0.07,0.07
3:CollisionOver,2,2,0.05,0.05
6:CollisionOver,2,2,0.05,0.05
84:Fourier3,1,1,0.02,0.02
