testName,countIndex,countRandom,countSeqSplit,PercentageIndex,PercentageRandom,PercentageSeqSplit
74:RandomWalk1,63,41,35,1.54,1.0,0.85
11:CollisionOver,62,58,57,1.51,1.42,1.39
12:CollisionOver,52,69,68,1.27,1.68,1.66
76:RandomWalk1,48,45,45,1.17,1.1,1.1
24:ClosePairs,48,36,41,1.17,0.88,1.0
75:RandomWalk1,42,43,43,1.03,1.05,1.05
25:ClosePairs,42,44,44,1.03,1.07,1.07
22:ClosePairs,42,43,50,1.03,1.05,1.22
79:RandomWalk1,39,35,39,0.95,0.85,0.95
78:RandomWalk1,38,46,48,0.93,1.12,1.17
23:ClosePairs,37,49,32,0.9,1.2,0.78
77:RandomWalk1,37,44,40,0.9,1.07,0.98
10:CollisionOver,24,28,18,0.59,0.68,0.44
9:CollisionOver,21,26,35,0.51,0.63,0.85
48:MaxOft,19,16,21,0.46,0.39,0.51
46:MaxOft,18,24,18,0.44,0.59,0.44
96:HammingIndep,15,11,7,0.37,0.27,0.17
56:SampleCorr,14,12,6,0.34,0.29,0.15
49:MaxOft,14,10,14,0.34,0.24,0.34
86:LongestHeadRun,14,15,9,0.34,0.37,0.22
93:HammingCorr,14,5,11,0.34,0.12,0.27
38:Run,13,11,4,0.32,0.27,0.1
95:HammingIndep,13,9,11,0.32,0.22,0.27
61:WeightDistrib,12,7,10,0.29,0.17,0.24
47:MaxOft,12,14,12,0.29,0.34,0.29
41:Permutation,12,11,8,0.29,0.27,0.2
100:HammingIndep,12,9,9,0.29,0.22,0.22
103:AutoCor,11,5,7,0.27,0.12,0.17
63:WeightDistrib,11,4,13,0.27,0.1,0.32
82:LempelZiv,11,15,9,0.27,0.37,0.22
60:WeightDistrib,11,14,10,0.27,0.34,0.24
55:SampleCorr,11,12,13,0.27,0.29,0.32
67:MatrixRank,11,8,8,0.27,0.2,0.2
59:WeightDistrib,10,12,7,0.24,0.29,0.17
72:Savir2,10,7,13,0.24,0.17,0.32
104:AutoCor,10,5,8,0.24,0.12,0.2
42:Permutation,10,5,6,0.24,0.12,0.15
53:SampleMean,10,8,9,0.24,0.2,0.22
102:Run,10,9,10,0.24,0.22,0.24
21:BirthdaySpacings,10,8,7,0.24,0.2,0.17
62:WeightDistrib,10,5,4,0.24,0.12,0.1
36:Gap,10,9,11,0.24,0.22,0.27
99:HammingIndep,10,12,12,0.24,0.29,0.29
101:Run,9,7,14,0.22,0.17,0.34
51:SampleProd,9,7,5,0.22,0.17,0.12
4:CollisionOver,9,12,9,0.22,0.29,0.22
73:GCD,9,9,5,0.22,0.22,0.12
26:SimpPoker,9,7,7,0.22,0.17,0.17
88:PeriodsInStrings,9,7,8,0.22,0.17,0.2
94:HammingCorr,9,13,6,0.22,0.32,0.15
39:Run,9,16,12,0.22,0.39,0.29
66:MatrixRank,9,4,7,0.22,0.1,0.17
68:MatrixRank,9,7,10,0.22,0.17,0.24
34:Gap,9,15,12,0.22,0.37,0.29
8:CollisionOver,9,12,11,0.22,0.29,0.27
106:AutoCor,8,6,5,0.2,0.15,0.12
14:BirthdaySpacings,8,5,8,0.2,0.12,0.2
1:SerialOver,8,10,13,0.2,0.24,0.32
17:BirthdaySpacings,8,7,11,0.2,0.17,0.27
30:CouponCollector,8,5,7,0.2,0.12,0.17
57:AppearanceSpacings,8,9,9,0.2,0.22,0.22
28:SimpPoker,8,12,5,0.2,0.29,0.12
2:SerialOver,8,9,14,0.2,0.22,0.34
35:Gap,8,4,9,0.2,0.1,0.22
98:HammingIndep,8,9,3,0.2,0.22,0.07
83:LempelZiv,7,9,13,0.17,0.22,0.32
105:AutoCor,7,15,8,0.17,0.37,0.2
92:HammingCorr,7,12,7,0.17,0.29,0.17
16:BirthdaySpacings,7,8,5,0.17,0.2,0.12
97:HammingIndep,7,11,7,0.17,0.27,0.17
87:LongestHeadRun,7,9,10,0.17,0.22,0.24
52:SampleProd,7,9,8,0.17,0.22,0.2
32:CouponCollector,7,7,2,0.17,0.17,0.05
31:CouponCollector,7,7,5,0.17,0.17,0.12
29:SimpPoker,7,9,6,0.17,0.22,0.15
70:MatrixRank,7,4,4,0.17,0.1,0.1
65:SumCollector,6,9,6,0.15,0.22,0.15
19:BirthdaySpacings,6,7,4,0.15,0.17,0.1
7:CollisionOver,6,12,10,0.15,0.29,0.24
90:HammingWeight2,6,7,7,0.15,0.17,0.17
27:SimpPoker,6,6,9,0.15,0.15,0.22
85:Fourier3,5,6,8,0.12,0.15,0.2
37:Gap,5,9,9,0.12,0.22,0.22
40:Permutation,5,8,11,0.12,0.2,0.27
43:Permutation,5,14,8,0.12,0.34,0.2
45:CollisionPermut,5,4,9,0.12,0.1,0.22
50:SampleProd,5,9,7,0.12,0.22,0.17
71:MatrixRank,5,7,8,0.12,0.17,0.2
20:BirthdaySpacings,5,9,7,0.12,0.22,0.17
13:BirthdaySpacings,5,12,7,0.12,0.29,0.17
64:WeightDistrib,5,9,7,0.12,0.22,0.17
15:BirthdaySpacings,5,5,5,0.12,0.12,0.12
18:BirthdaySpacings,5,8,5,0.12,0.2,0.12
54:SampleMean,5,5,8,0.12,0.12,0.2
58:AppearanceSpacings,4,10,5,0.1,0.24,0.12
89:PeriodsInStrings,4,3,4,0.1,0.07,0.1
91:HammingWeight2,4,8,17,0.1,0.2,0.42
69:MatrixRank,4,10,10,0.1,0.24,0.24
33:CouponCollector,4,10,9,0.1,0.24,0.22
5:CollisionOver,3,5,11,0.07,0.12,0.27
44:CollisionPermut,3,5,6,0.07,0.12,0.15
3:CollisionOver,2,9,8,0.05,0.22,0.2
6:CollisionOver,2,6,7,0.05,0.15,0.17
84:Fourier3,1,2,3,0.02,0.05,0.07
