testName,count1,count2,percentage1,percentage2
12:CollisionOver,69,69,1.68,1.68
11:CollisionOver,58,58,1.42,1.42
23:ClosePairs,49,49,1.2,1.2
78:RandomWalk1,46,44,1.12,1.07
76:RandomWalk1,45,43,1.1,1.05
77:RandomWalk1,44,48,1.07,1.17
25:ClosePairs,44,44,1.07,1.07
22:ClosePairs,43,43,1.05,1.05
75:RandomWalk1,43,42,1.05,1.03
74:RandomWalk1,41,39,1.0,0.95
24:ClosePairs,36,36,0.88,0.88
79:RandomWalk1,35,38,0.85,0.93
10:CollisionOver,28,28,0.68,0.68
9:CollisionOver,26,26,0.63,0.63
46:MaxOft,24,25,0.59,0.61
48:MaxOft,16,16,0.39,0.39
39:Run,16,16,0.39,0.39
86:LongestHeadRun,15,15,0.37,0.37
34:Gap,15,15,0.37,0.37
82:LempelZiv,15,15,0.37,0.37
105:AutoCor,15,15,0.37,0.37
43:Permutation,14,14,0.34,0.34
60:WeightDistrib,14,14,0.34,0.34
47:MaxOft,14,14,0.34,0.34
94:HammingCorr,13,13,0.32,0.32
59:WeightDistrib,12,12,0.29,0.29
4:CollisionOver,12,12,0.29,0.29
7:CollisionOver,12,12,0.29,0.29
55:SampleCorr,12,12,0.29,0.29
8:CollisionOver,12,12,0.29,0.29
99:HammingIndep,12,12,0.29,0.29
13:BirthdaySpacings,12,12,0.29,0.29
92:HammingCorr,12,11,0.29,0.27
28:SimpPoker,12,12,0.29,0.29
56:SampleCorr,12,12,0.29,0.29
38:Run,11,11,0.27,0.27
41:Permutation,11,11,0.27,0.27
96:HammingIndep,11,12,0.27,0.29
97:HammingIndep,11,12,0.27,0.29
69:MatrixRank,10,10,0.24,0.24
58:AppearanceSpacings,10,10,0.24,0.24
1:SerialOver,10,10,0.24,0.24
33:CouponCollector,10,10,0.24,0.24
49:MaxOft,10,10,0.24,0.24
98:HammingIndep,9,8,0.22,0.2
57:AppearanceSpacings,9,9,0.22,0.22
83:LempelZiv,9,9,0.22,0.22
73:GCD,9,8,0.22,0.2
95:HammingIndep,9,9,0.22,0.22
87:LongestHeadRun,9,9,0.22,0.22
65:SumCollector,9,9,0.22,0.22
64:WeightDistrib,9,9,0.22,0.22
100:HammingIndep,9,9,0.22,0.22
52:SampleProd,9,9,0.22,0.22
36:Gap,9,9,0.22,0.22
2:SerialOver,9,9,0.22,0.22
29:SimpPoker,9,9,0.22,0.22
3:CollisionOver,9,9,0.22,0.22
20:BirthdaySpacings,9,9,0.22,0.22
50:SampleProd,9,9,0.22,0.22
102:Run,9,9,0.22,0.22
37:Gap,9,9,0.22,0.22
18:BirthdaySpacings,8,8,0.2,0.2
91:HammingWeight2,8,8,0.2,0.2
40:Permutation,8,8,0.2,0.2
21:BirthdaySpacings,8,8,0.2,0.2
67:MatrixRank,8,9,0.2,0.22
16:BirthdaySpacings,8,8,0.2,0.2
53:SampleMean,8,8,0.2,0.2
90:HammingWeight2,7,7,0.17,0.17
17:BirthdaySpacings,7,7,0.17,0.17
88:PeriodsInStrings,7,7,0.17,0.17
19:BirthdaySpacings,7,7,0.17,0.17
26:SimpPoker,7,7,0.17,0.17
32:CouponCollector,7,7,0.17,0.17
31:CouponCollector,7,7,0.17,0.17
61:WeightDistrib,7,7,0.17,0.17
71:MatrixRank,7,7,0.17,0.17
101:Run,7,7,0.17,0.17
68:MatrixRank,7,10,0.17,0.24
72:Savir2,7,8,0.17,0.2
51:SampleProd,7,7,0.17,0.17
6:CollisionOver,6,6,0.15,0.15
27:SimpPoker,6,6,0.15,0.15
106:AutoCor,6,6,0.15,0.15
85:Fourier3,6,4,0.15,0.1
5:CollisionOver,5,5,0.12,0.12
103:AutoCor,5,5,0.12,0.12
104:AutoCor,5,5,0.12,0.12
14:BirthdaySpacings,5,5,0.12,0.12
15:BirthdaySpacings,5,5,0.12,0.12
93:HammingCorr,5,5,0.12,0.12
54:SampleMean,5,5,0.12,0.12
44:CollisionPermut,5,5,0.12,0.12
62:WeightDistrib,5,5,0.12,0.12
42:Permutation,5,5,0.12,0.12
30:CouponCollector,5,5,0.12,0.12
45:CollisionPermut,4,4,0.1,0.1
63:WeightDistrib,4,4,0.1,0.1
66:MatrixRank,4,4,0.1,0.1
70:MatrixRank,4,3,0.1,0.07
35:Gap,4,4,0.1,0.1
89:PeriodsInStrings,3,3,0.07,0.07
84:Fourier3,2,3,0.05,0.07
