testName,count1,count2,percentage1,percentage2
12:CollisionOver,68,68,1.66,1.66
11:CollisionOver,57,57,1.39,1.39
22:ClosePairs,50,50,1.22,1.22
78:RandomWalk1,48,47,1.17,1.15
76:RandomWalk1,45,46,1.1,1.12
25:ClosePairs,44,44,1.07,1.07
75:RandomWalk1,43,40,1.05,0.98
24:ClosePairs,41,41,1.0,1.0
77:RandomWalk1,40,41,0.98,1.0
79:RandomWalk1,39,41,0.95,1.0
74:RandomWalk1,35,37,0.85,0.9
9:CollisionOver,35,35,0.85,0.85
23:ClosePairs,32,32,0.78,0.78
48:MaxOft,21,21,0.51,0.51
10:CollisionOver,18,18,0.44,0.44
46:MaxOft,18,17,0.44,0.42
91:HammingWeight2,17,17,0.42,0.42
2:SerialOver,14,14,0.34,0.34
101:Run,14,14,0.34,0.34
49:MaxOft,14,14,0.34,0.34
1:SerialOver,13,13,0.32,0.32
55:SampleCorr,13,13,0.32,0.32
83:LempelZiv,13,14,0.32,0.34
72:Savir2,13,13,0.32,0.32
63:WeightDistrib,13,13,0.32,0.32
47:MaxOft,12,12,0.29,0.29
99:HammingIndep,12,12,0.29,0.29
39:Run,12,12,0.29,0.29
34:Gap,12,12,0.29,0.29
36:Gap,11,11,0.27,0.27
5:CollisionOver,11,11,0.27,0.27
40:Permutation,11,11,0.27,0.27
17:BirthdaySpacings,11,11,0.27,0.27
95:HammingIndep,11,10,0.27,0.24
93:HammingCorr,11,13,0.27,0.32
8:CollisionOver,11,11,0.27,0.27
68:MatrixRank,10,13,0.24,0.32
61:WeightDistrib,10,10,0.24,0.24
102:Run,10,10,0.24,0.24
60:WeightDistrib,10,10,0.24,0.24
87:LongestHeadRun,10,10,0.24,0.24
7:CollisionOver,10,10,0.24,0.24
69:MatrixRank,10,11,0.24,0.27
82:LempelZiv,9,8,0.22,0.2
57:AppearanceSpacings,9,9,0.22,0.22
4:CollisionOver,9,9,0.22,0.22
53:SampleMean,9,9,0.22,0.22
86:LongestHeadRun,9,9,0.22,0.22
100:HammingIndep,9,9,0.22,0.22
45:CollisionPermut,9,9,0.22,0.22
33:CouponCollector,9,9,0.22,0.22
37:Gap,9,9,0.22,0.22
27:SimpPoker,9,9,0.22,0.22
35:Gap,9,9,0.22,0.22
52:SampleProd,8,8,0.2,0.2
3:CollisionOver,8,8,0.2,0.2
14:BirthdaySpacings,8,8,0.2,0.2
88:PeriodsInStrings,8,8,0.2,0.2
85:Fourier3,8,6,0.2,0.15
105:AutoCor,8,8,0.2,0.2
41:Permutation,8,8,0.2,0.2
104:AutoCor,8,8,0.2,0.2
71:MatrixRank,8,8,0.2,0.2
43:Permutation,8,8,0.2,0.2
54:SampleMean,8,7,0.2,0.17
67:MatrixRank,8,8,0.2,0.2
20:BirthdaySpacings,7,7,0.17,0.17
21:BirthdaySpacings,7,7,0.17,0.17
90:HammingWeight2,7,7,0.17,0.17
13:BirthdaySpacings,7,7,0.17,0.17
92:HammingCorr,7,6,0.17,0.15
96:HammingIndep,7,6,0.17,0.15
97:HammingIndep,7,8,0.17,0.2
103:AutoCor,7,7,0.17,0.17
26:SimpPoker,7,7,0.17,0.17
50:SampleProd,7,7,0.17,0.17
30:CouponCollector,7,7,0.17,0.17
6:CollisionOver,7,7,0.17,0.17
59:WeightDistrib,7,7,0.17,0.17
64:WeightDistrib,7,7,0.17,0.17
66:MatrixRank,7,8,0.17,0.2
44:CollisionPermut,6,6,0.15,0.15
56:SampleCorr,6,6,0.15,0.15
42:Permutation,6,6,0.15,0.15
94:HammingCorr,6,7,0.15,0.17
29:SimpPoker,6,6,0.15,0.15
65:SumCollector,6,6,0.15,0.15
51:SampleProd,5,5,0.12,0.12
58:AppearanceSpacings,5,5,0.12,0.12
16:BirthdaySpacings,5,5,0.12,0.12
18:BirthdaySpacings,5,5,0.12,0.12
28:SimpPoker,5,5,0.12,0.12
31:CouponCollector,5,5,0.12,0.12
73:GCD,5,4,0.12,0.1
106:AutoCor,5,5,0.12,0.12
15:BirthdaySpacings,5,5,0.12,0.12
38:Run,4,4,0.1,0.1
70:MatrixRank,4,4,0.1,0.1
62:WeightDistrib,4,4,0.1,0.1
19:BirthdaySpacings,4,4,0.1,0.1
89:PeriodsInStrings,4,4,0.1,0.1
98:HammingIndep,3,3,0.07,0.07
84:Fourier3,3,3,0.07,0.07
32:CouponCollector,2,2,0.05,0.05
