testName,count1,count2
80:LinearComp,1185,1185
81:LinearComp,1185,1185
12:CollisionOver,69,69
11:CollisionOver,58,58
23:ClosePairs,49,49
78:RandomWalk1,46,44
76:RandomWalk1,45,43
77:RandomWalk1,44,48
25:ClosePairs,44,44
22:ClosePairs,43,43
75:RandomWalk1,43,42
74:RandomWalk1,41,39
24:ClosePairs,36,36
79:RandomWalk1,35,38
10:CollisionOver,28,28
9:CollisionOver,26,26
46:MaxOft,24,25
48:MaxOft,16,16
39:Run,16,16
86:LongestHeadRun,15,15
34:Gap,15,15
82:LempelZiv,15,15
105:AutoCor,15,15
43:Permutation,14,14
60:WeightDistrib,14,14
47:MaxOft,14,14
94:HammingCorr,13,13
59:WeightDistrib,12,12
4:CollisionOver,12,12
7:CollisionOver,12,12
55:SampleCorr,12,12
8:CollisionOver,12,12
99:HammingIndep,12,12
13:BirthdaySpacings,12,12
92:HammingCorr,12,11
28:SimpPoker,12,12
56:SampleCorr,12,12
38:Run,11,11
41:Permutation,11,11
96:HammingIndep,11,12
97:HammingIndep,11,12
69:MatrixRank,10,10
58:AppearanceSpacings,10,10
1:SerialOver,10,10
33:CouponCollector,10,10
49:MaxOft,10,10
98:HammingIndep,9,8
57:AppearanceSpacings,9,9
83:LempelZiv,9,9
73:GCD,9,8
95:HammingIndep,9,9
87:LongestHeadRun,9,9
65:SumCollector,9,9
64:WeightDistrib,9,9
100:HammingIndep,9,9
52:SampleProd,9,9
36:Gap,9,9
2:SerialOver,9,9
29:SimpPoker,9,9
3:CollisionOver,9,9
20:BirthdaySpacings,9,9
50:SampleProd,9,9
102:Run,9,9
37:Gap,9,9
18:BirthdaySpacings,8,8
91:HammingWeight2,8,8
40:Permutation,8,8
21:BirthdaySpacings,8,8
67:MatrixRank,8,9
16:BirthdaySpacings,8,8
53:SampleMean,8,8
90:HammingWeight2,7,7
17:BirthdaySpacings,7,7
88:PeriodsInStrings,7,7
19:BirthdaySpacings,7,7
26:SimpPoker,7,7
32:CouponCollector,7,7
31:CouponCollector,7,7
61:WeightDistrib,7,7
71:MatrixRank,7,7
101:Run,7,7
68:MatrixRank,7,10
72:Savir2,7,8
51:SampleProd,7,7
6:CollisionOver,6,6
27:SimpPoker,6,6
106:AutoCor,6,6
85:Fourier3,6,4
5:CollisionOver,5,5
103:AutoCor,5,5
104:AutoCor,5,5
14:BirthdaySpacings,5,5
15:BirthdaySpacings,5,5
93:HammingCorr,5,5
54:SampleMean,5,5
44:CollisionPermut,5,5
62:WeightDistrib,5,5
42:Permutation,5,5
30:CouponCollector,5,5
45:CollisionPermut,4,4
63:WeightDistrib,4,4
66:MatrixRank,4,4
70:MatrixRank,4,3
35:Gap,4,4
89:PeriodsInStrings,3,3
84:Fourier3,2,3
