testName,count1,count2
81:LinearComp,1156,1156
80:LinearComp,1156,1156
12:CollisionOver,68,68
11:CollisionOver,57,57
22:ClosePairs,50,50
78:RandomWalk1,48,47
76:RandomWalk1,45,46
25:ClosePairs,44,44
75:RandomWalk1,43,40
24:ClosePairs,41,41
77:RandomWalk1,40,41
79:RandomWalk1,39,41
74:RandomWalk1,35,37
9:CollisionOver,35,35
23:ClosePairs,32,32
48:MaxOft,21,21
10:CollisionOver,18,18
46:MaxOft,18,17
91:HammingWeight2,17,17
2:SerialOver,14,14
101:Run,14,14
49:MaxOft,14,14
1:SerialOver,13,13
55:SampleCorr,13,13
83:LempelZiv,13,14
72:Savir2,13,13
63:WeightDistrib,13,13
47:MaxOft,12,12
99:HammingIndep,12,12
39:Run,12,12
34:Gap,12,12
36:Gap,11,11
5:CollisionOver,11,11
40:Permutation,11,11
17:BirthdaySpacings,11,11
95:HammingIndep,11,10
93:HammingCorr,11,13
8:CollisionOver,11,11
68:MatrixRank,10,13
61:WeightDistrib,10,10
102:Run,10,10
60:WeightDistrib,10,10
87:LongestHeadRun,10,10
7:CollisionOver,10,10
69:MatrixRank,10,11
82:LempelZiv,9,8
57:AppearanceSpacings,9,9
4:CollisionOver,9,9
53:SampleMean,9,9
86:LongestHeadRun,9,9
100:HammingIndep,9,9
45:CollisionPermut,9,9
33:CouponCollector,9,9
37:Gap,9,9
27:SimpPoker,9,9
35:Gap,9,9
52:SampleProd,8,8
3:CollisionOver,8,8
14:BirthdaySpacings,8,8
88:PeriodsInStrings,8,8
85:Fourier3,8,6
105:AutoCor,8,8
41:Permutation,8,8
104:AutoCor,8,8
71:MatrixRank,8,8
43:Permutation,8,8
54:SampleMean,8,7
67:MatrixRank,8,8
20:BirthdaySpacings,7,7
21:BirthdaySpacings,7,7
90:HammingWeight2,7,7
13:BirthdaySpacings,7,7
92:HammingCorr,7,6
96:HammingIndep,7,6
97:HammingIndep,7,8
103:AutoCor,7,7
26:SimpPoker,7,7
50:SampleProd,7,7
30:CouponCollector,7,7
6:CollisionOver,7,7
59:WeightDistrib,7,7
64:WeightDistrib,7,7
66:MatrixRank,7,8
44:CollisionPermut,6,6
56:SampleCorr,6,6
42:Permutation,6,6
94:HammingCorr,6,7
29:SimpPoker,6,6
65:SumCollector,6,6
51:SampleProd,5,5
58:AppearanceSpacings,5,5
16:BirthdaySpacings,5,5
18:BirthdaySpacings,5,5
28:SimpPoker,5,5
31:CouponCollector,5,5
73:GCD,5,4
106:AutoCor,5,5
15:BirthdaySpacings,5,5
38:Run,4,4
70:MatrixRank,4,4
62:WeightDistrib,4,4
19:BirthdaySpacings,4,4
89:PeriodsInStrings,4,4
98:HammingIndep,3,3
84:Fourier3,3,3
32:CouponCollector,2,2
