,testName,count
85,81:LinearComp,1128
84,80:LinearComp,1128
8,11:CollisionOver,62
77,74:RandomWalk1,59
9,12:CollisionOver,52
22,24:ClosePairs,48
79,76:RandomWalk1,46
23,25:ClosePairs,42
20,22:ClosePairs,42
82,79:RandomWalk1,41
78,75:RandomWalk1,38
81,78:RandomWalk1,38
21,23:ClosePairs,37
80,77:RandomWalk1,36
7,10:CollisionOver,24
105,9:CollisionOver,21
48,48:MaxOft,20
46,46:MaxOft,19
101,96:HammingIndep,15
90,86:LongestHeadRun,14
57,56:SampleCorr,14
49,49:MaxOft,14
37,38:Run,13
98,93:HammingCorr,13
86,82:LempelZiv,12
63,61:WeightDistrib,12
47,47:MaxOft,12
41,41:Permutation,12
65,63:WeightDistrib,11
100,95:HammingIndep,11
62,60:WeightDistrib,11
56,55:SampleCorr,11
0,100:HammingIndep,11
3,103:AutoCor,11
69,67:MatrixRank,10
75,72:Savir2,10
60,59:WeightDistrib,10
19,21:BirthdaySpacings,10
64,62:WeightDistrib,10
70,68:MatrixRank,10
42,42:Permutation,10
4,104:AutoCor,10
2,102:Run,10
35,36:Gap,10
54,53:SampleMean,10
94,8:CollisionOver,9
1,101:Run,9
92,88:PeriodsInStrings,9
99,94:HammingCorr,9
68,66:MatrixRank,9
102,97:HammingIndep,9
24,26:SimpPoker,9
33,34:Gap,9
52,51:SampleProd,9
38,39:Run,9
50,4:CollisionOver,9
76,73:GCD,8
14,17:BirthdaySpacings,8
34,35:Gap,8
11,14:BirthdaySpacings,8
6,106:AutoCor,8
29,30:CouponCollector,8
28,2:SerialOver,8
97,92:HammingCorr,8
58,57:AppearanceSpacings,8
26,28:SimpPoker,8
17,1:SerialOver,8
31,32:CouponCollector,7
91,87:LongestHeadRun,7
5,105:AutoCor,7
103,98:HammingIndep,7
13,16:BirthdaySpacings,7
104,99:HammingIndep,7
53,52:SampleProd,7
73,70:MatrixRank,7
27,29:SimpPoker,7
30,31:CouponCollector,7
67,65:SumCollector,6
55,54:SampleMean,6
16,19:BirthdaySpacings,6
25,27:SimpPoker,6
71,69:MatrixRank,6
95,90:HammingWeight2,6
83,7:CollisionOver,6
87,83:LempelZiv,6
74,71:MatrixRank,5
40,40:Permutation,5
96,91:HammingWeight2,5
18,20:BirthdaySpacings,5
36,37:Gap,5
43,43:Permutation,5
66,64:WeightDistrib,5
10,13:BirthdaySpacings,5
12,15:BirthdaySpacings,5
45,45:CollisionPermut,5
51,50:SampleProd,5
15,18:BirthdaySpacings,5
93,89:PeriodsInStrings,4
89,85:Fourier3,4
59,58:AppearanceSpacings,4
32,33:CouponCollector,4
44,44:CollisionPermut,3
61,5:CollisionOver,3
39,3:CollisionOver,2
72,6:CollisionOver,2
88,84:Fourier3,1
