,testName,count
0,100:HammingIndep,9
1,101:Run,7
2,102:Run,9
3,103:AutoCor,5
4,104:AutoCor,5
5,105:AutoCor,15
6,106:AutoCor,6
7,10:CollisionOver,28
8,11:CollisionOver,58
9,12:CollisionOver,69
10,13:BirthdaySpacings,12
11,14:BirthdaySpacings,5
12,15:BirthdaySpacings,5
13,16:BirthdaySpacings,8
14,17:BirthdaySpacings,7
15,18:BirthdaySpacings,8
16,19:BirthdaySpacings,7
17,1:SerialOver,10
18,20:BirthdaySpacings,9
19,21:BirthdaySpacings,8
20,22:ClosePairs,43
21,23:ClosePairs,49
22,24:ClosePairs,36
23,25:ClosePairs,44
24,26:SimpPoker,7
25,27:SimpPoker,6
26,28:SimpPoker,12
27,29:SimpPoker,9
28,2:SerialOver,9
29,30:CouponCollector,5
30,31:CouponCollector,7
31,32:CouponCollector,7
32,33:CouponCollector,10
33,34:Gap,15
34,35:Gap,4
35,36:Gap,9
36,37:Gap,9
37,38:Run,11
38,39:Run,16
39,3:CollisionOver,9
40,40:Permutation,8
41,41:Permutation,11
42,42:Permutation,5
43,43:Permutation,14
44,44:CollisionPermut,5
45,45:CollisionPermut,4
46,46:MaxOft,25
47,47:MaxOft,14
48,48:MaxOft,16
49,49:MaxOft,10
50,4:CollisionOver,12
51,50:SampleProd,9
52,51:SampleProd,7
53,52:SampleProd,9
54,53:SampleMean,8
55,54:SampleMean,5
56,55:SampleCorr,12
57,56:SampleCorr,12
58,57:AppearanceSpacings,9
59,58:AppearanceSpacings,10
60,59:WeightDistrib,12
61,5:CollisionOver,5
62,60:WeightDistrib,14
63,61:WeightDistrib,7
64,62:WeightDistrib,5
65,63:WeightDistrib,4
66,64:WeightDistrib,9
67,65:SumCollector,9
68,66:MatrixRank,4
69,67:MatrixRank,9
70,68:MatrixRank,10
71,69:MatrixRank,10
72,6:CollisionOver,6
73,70:MatrixRank,3
74,71:MatrixRank,7
75,72:Savir2,8
76,73:GCD,8
77,74:RandomWalk1,39
78,75:RandomWalk1,42
79,76:RandomWalk1,43
80,77:RandomWalk1,48
81,78:RandomWalk1,44
82,79:RandomWalk1,38
83,7:CollisionOver,12
84,80:LinearComp,1185
85,81:LinearComp,1185
86,82:LempelZiv,15
87,83:LempelZiv,9
88,84:Fourier3,3
89,85:Fourier3,4
90,86:LongestHeadRun,15
91,87:LongestHeadRun,9
92,88:PeriodsInStrings,7
93,89:PeriodsInStrings,3
94,8:CollisionOver,12
95,90:HammingWeight2,7
96,91:HammingWeight2,8
97,92:HammingCorr,11
98,93:HammingCorr,5
99,94:HammingCorr,13
100,95:HammingIndep,9
101,96:HammingIndep,12
102,97:HammingIndep,12
103,98:HammingIndep,8
104,99:HammingIndep,12
105,9:CollisionOver,26
